source_path,bytes,sha256,extension
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/db/0011_app.sql,3701,ba0f2e7f2d69a08d250678c81badc116788e753a660cf68722718b67cbe2c99a,.sql
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/db/0012_scope.sql,2831,7eb47923759af11adf2475b30724b5e0874638a3f2af1bb47d6b52d1033443ef,.sql
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/db/0013_capacity.sql,2541,f0174c6fc9c32c8a3b0d0e4171dbb1ca9186012c959aeb06929b342630b57d14,.sql
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/db/0014_core_domain_reset.sql,5291,e0c08121adbd7437d0bd99393fc769d812f7988f2aa7eecf4094249014e7a504,.sql
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/db/schema.sql,5826,db0d06a8f0bfb634999f2669ac4761d7bc5c8b9add0b6aece9e860459ba499c3,.sql
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/00-DANE.md,5203,61c3cf6d65106059e9a161e56943d0adf785e68bafdfe7d832c66b13991745e8,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/00-MASTER-PLAN.md,10253,465549c6977d279cdab1aaae3daa9a790aea16213adf86b1decf3538b20a70d6,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/01-SPEC.md,51241,9fbaef80ce96b654b2988c29140f151cf97a04acdc138f8bf35d33eb6fe51ff4,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/02-DESIGN.md,10830,177bc54ac1288ba997ac08f98323ee376336a30c1629e157b1c9cd92a5b0024b,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/03-COPY.md,22464,d939cfa040349953f36586ca3cc5f18e99b87a76e492950bf3f46f61bd600077,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/04-PROMPTS.md,41830,9e78abef8225d6b0adafeea615ca2a2b109527677edfde6b8c6990f7def19445,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/05-MARKETING.md,12115,d08fc14dc87749acf84ad188d38d9b2584f5633c844c05c016b07791334379d3,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/06-REKLAMY-DIY.md,12341,a2ba644aff0dae03bf3890dcf6a0bf98d17dc8c2c779975b174c15833414ddd0,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/07-WIEDZA-2026.md,8487,3d9312dd0bb5d2a55118942b088f67de4005aada554919561173efc1649a9d2a,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/08-PORTAL-FUNKCJE.md,12631,37c6d2d8983df5f0fccb9d5204811d7048172be89b11e0081f390ab7321d3846,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/09-AUDYT.md,23912,b04eb4d24b233b75de0c506194b9ab9fbe790781a487ec97f64f9a34d51365ce,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/10-UX-AUTOMATYZACJA.md,11803,ca6608153bee65e6f325f41c3c85ba1f3f4ba882fcea747905a68c8a2639f841,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/11-PLATFORMY.md,12582,71faa4920705390d3876cbfc28afe33c120410b3e837a4ae4fbd2f6e9dac7ef8,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/12-ZGODNOSC-I-AGENCI.md,8958,13ce066010bdc1f650633d3bf401358d62a3e4b5fc58f31053015cd391f129b1,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/13-KOSZTY-I-REPOZYTORIA.md,8639,aeb1a9c4495c38387b68127ff11dfea58d002891c7f057e62e87e10865091ace,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/14-REPOZYTORIA-PLUS.md,5015,eeb0619c67d1eca5786ef021929ae2bf41ad00887010f87d2be24551f5b2f40a,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/15-EFEKTYWNOSC.md,5173,208d02b24b9aeef3aacbe6cf710277e2501b409d7368b9dc3966e6e55d3e5416,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/16-CO-BYM-ZMIENIL.md,8763,9aaaa3107b93aafebde20039fae7d5252d8279b26e7ce019d3e7578ed8ec51ed,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/17-CAD-3D.md,5017,a3bc2567055a4709c45ad30d8c913ebf7af119f9f3c285a5f1cefb19db708cf6,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/18-SKETCHUP-CLAUDE.md,5218,aa81ac03e54887e68c6028dde927b1bd74d2fd84f1ca6abdcdc04d36ae0ba1cd,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/19-PRACOWNIA-IT.md,6095,cca226b64889a561d0ed873fafaa36c85de8c7a0436cd6328de93a51f8f67c65,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/20-APLIKACJA-GARDEN-OS.md,6404,c46e4747adcab95ff6417e9ca8681ac21ec084ae621be4aafa353881c721162c,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/21-UPROSZCZENIE.md,6314,046329893d2556b09f4ec2a16398c212619073eb41cb77271e410160107427b4,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/22-JEDEN-PROJEKTANT.md,5822,577965a68b76974218e8406b1df62fafc9b928bd794476af16754da0ef2e8035,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/23-ETAP-B-C-D-RESET.md,1632,ffd7b55d6077c2bb1bb2be61cdcd5e7d04229a2b3c8474c36f3ce68fdcdf6d9a,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/24-AI-SOFTWARE-ORCHESTRATION-2026.md,4726,e46b60b17a8c9769dd1763d6b0afa0040524c7632eb6358b1d5fc49b143dca2e,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/25-MASTER-CONTEXT-2026-09-20.md,4468,5adf59a7dc010f562b9e367ee28c0f447ffbd060061c9984fc13eaec47396de8,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/26-DECISION-REGISTER.md,2320,96e65a932705a308543a6cbb5c8353965d0495f10d0b4f2e2393b3f1fd72ed9b,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/27-AUDIT-COVERAGE-2026-09-20.md,9446,2c27ea7e38c64cb3db1b280a11f30450b40d1123966e260dfeabd85ecd2744e8,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/INDEKS.md,12468,8fdf5d670cad6b3802a7273543a51c926383d82d1c8b54491b72b073e34a1452,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/LAUNCH.md,1897,dd1134f3dfbc9d5bf66ffa6ed57dc6da978783eb5f93ae7dd8fd81a45d7263fb,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/REJESTR-AI.md,1331,8cd2581cf46b0ec8f40f78e2c042e256b5ec9c46d3d03c60c1f790a2077c0e4d,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/_research-2026-09-17.md,3089,1bb4d90f6896a73ea2b03b3ab6caa68b9d135c22a3f8815bfa51014c51011ab0,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/_research-koszty-2026-09-17.md,1727,c17b74fc94b5e569cb6f3a3840b9501f1af86873255ab36fa59f3c02a0b24e60,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/_research-mobile-2026-09-19.md,2191,75df234c8553320d1d55baf3d6672e69f886593f2a66f1d2521de0ddff0fa70a,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/_research-platformy-2026-09-17.md,2318,808b92fa05e48caf69a5916f7fba83a1c44d93949856a18a498c254853e140c6,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/_research-repo-2026-09-17.md,1669,cb84752b492bfb52d6e37128a26adee445dc6fa3ff30da6f015994934cc0ae7c,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/_research-v4-2026-09-17.md,4169,8658ddef67efc6027312acaf45378b85cd4316449b9f2b72109a588b6136e5ba,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/_research-v7-2026-09-17.md,2523,4a954c9050790220a1dae5b77c6d89c17103e6905eed1774b48c5295912a0c0b,.md
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/docs/redirects.csv,1309,ee2705c1c2cbd833fd377f66c9cb6b02d2c067d04fb993cef77e629d0b790fb9,.csv
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/public/llms.txt,1504,b7f8b4330d767df9dc97f3798ebf11367d8006658ebb6ccc5ae34176b071b489,.txt
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/public/robots.txt,362,dfded421f7ce242cee21479bc5596c02e36c3eacfad189dc591d7687de39678f,.txt
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/sanity/schema.ts,10774,0041bbfccd3e9ddb00a34a2f194470a8a63c55d7aa641a61bd0f2933c143b407,.ts
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/scripts/check-placeholders.mjs,1305,40558a0ae61df5fe08cf8ac3ed5cebaa8032c8b15657fc5eecd0fbc0226a6822,.mjs
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/scripts/import-wordpress.mjs,3460,5ca325d0e0a06303e967f0536ca595eed018dceb24becb3d7414b9f28a3afd57,.mjs
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/scripts/validate-openapi.py,710,27998cc314635054c903ad288097a5bf560392c3c577ac175e549e761c1ad344,.py
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/sketchup-plugin/forma_zieleni/main.rb,4769,2a30146a8581f522d4cc3c6c64ffb19345a3aa7c9501f4eb368ef7dcf74ebb61,.rb
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/sketchup-plugin/forma_zieleni.rb,463,6148e5c33070a2ae3f26ef2de89a857484decd50a3e2b2f873a3baffee8a303a,.rb
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/src/data/pricing.ts,2773,653880845a51b5c06e8685aa34f39b3ace0c9f11e7dbc5a8bed8518d1c97ae83,.ts
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/src/data/quiz.json,11288,bd8c7fd3435e43858d5f93111a0283d4a7e75efa456f5814e3f9429ced14be30,.json
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/src/lib/fakturownia.ts,3797,83dfdf3973637cadcb4b8ad475ed49ab2a6689ca9762c9012f44ae85f929dd99,.ts
formazieleni-F-RESET-AUDITED-2026-09-20/formazieleni-pack/src/lib/notify.ts,3024,de10012799224f273abe1d9dd5afd53d6ca9b46fd2b92ac468eada229d37ecef,.ts
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/.cursor/rules/api-contract.mdc,586,b1ec1fac675cef6955f9ae0f0e2e0b3b64d2bf7daef8bb28f18a5a6f5b562d95,.mdc
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/.cursor/rules/formazieleni.mdc,4680,b122dae9eedaf5de177c4019fcd3ce9bb36faebb7ee49b6899987e1da08ac43b,.mdc
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/.dev.vars.example,393,be630dfc22ff2dc332fd5b5d40e853515a41940601aea5801a970c87b09b41d0,.example
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/CHECKPOINT.md,3122,1bcb3ce549516f232a2b6d97cc8f7a14405149502eadfbd0f97e4796c392f424,.md
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/README.md,2675,b7311852d8d10603026310588532611110143ae14574ac375b1a164289d21f90,.md
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/ads/google-ag1-trojmiasto.txt,1015,5b6f460a1c1a7980fb71e7749c71dcf125b358ab999aa6c6547e82090cfe80c7,.txt
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/ads/google-ag2-okolice.txt,1730,94dd0991f5a34b88b127cdf59697a9929a6025852a99b1cc89d39c7fa08c6e0a,.txt
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/ads/google-ag3-cena.txt,99,c7dfd323fbe5d4c279378805fc80745b652aefe18591e5e79a53f4ed11cf86c2,.txt
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/ads/google-ag4-tarasy-balkony.txt,294,cdcc189bc2f179314b9f648b9436727a3a5cdf8e57dceacecdd3fa3e7fecba5f,.txt
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/ads/google-ag5-retencja.txt,653,2bebbaadc50fe8999f6c757dd0af09ae841139d06ccf5e937440c6dba2bdbf33,.txt
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/ads/google-ag6-mala-architektura.txt,430,d8b538f379acceca59975ccdf06b5bfcf2b5f7bdb341d03e2b0ae912bb58e5fb,.txt
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/ads/google-etap2-kujawsko-pomorskie.txt,1612,44398bf0feb06b5fafdf4278bf8443db8d51c3ce4fb9885c5fae5894a3e84fdd,.txt
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/ads/google-negatives.txt,341,96b55ebfe14ae0a12322c51fd91252ba8f2031eb9ad7b47ec4e91ccef3b13067,.txt
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/clients/sketchup/forma_zieleni_api.rb,1361,08882271b5913bec6d3ec844fd0ef47860d733598ef5fa0cf4abe8dfe1671578,.rb
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/clients/typescript/package.json,147,e0f1b49eb2764db5f577c7e35dd61c0b7cdf2f13c9393f44283d82b2dd793da1,.json
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/clients/typescript/src/index.ts,2661,73cb157d026d076cac34033f8c02cd0c86aa017e32b2876c65b90b7dc23c5589,.ts
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/contracts/README.md,850,4d658f760226a284e9b175acbe07f595142c93547adf84c92605a4c8a45f4136,.md
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/contracts/openapi.yaml,39934,7a6658a262aebfcaa735655e0575c216c0162fec7f651e461b10d540da4a69f8,.yaml
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0002_crm_marketing.sql,12914,8c16172f601dd30525e2e8bf625f8fabdaf13ecd5af2c189f05d09660965c8ed,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0003_portal.sql,8269,e98ed532a75841f29bf760d37d09376e269513b0fb973e87e80cd5bfcb7166f2,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0004_automation.sql,7292,70729b9c9a59e2984b9b8753dfbc64d54de91d68b7b47e2fb18b5567f1e74331,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0005_platforms.sql,2724,4f22fc361a0b1bbb7857349aa655adda1a2ee2eb6a0d7b5beb2ace56aa7add53,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0006_compliance_agents.sql,4077,d682fca61d6fb9ad402038754bc2c4406df65864ce2a42e8ed4b33b263cfbf40,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0007_fakturownia.sql,1636,50cc16fc646619f43bb03c15365ca219bea8aa228091c1f7f854e7eb70368832,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0008_reliability.sql,4950,f15079bbf5fb59435d4be1ed4b53aaf185b2005ce8f4dc539de4d7d58dfa0c89,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0009_studio.sql,2161,b23e23e49a8ebe8ab041e21fa40c9c5232578ab301edbe1e2fb970febbdf4832,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0010_studio_ops.sql,3438,d7ce693a13b9a877d13274440503e84594570872f864cf68ba144a355e9127af,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0011_app.sql,3701,ba0f2e7f2d69a08d250678c81badc116788e753a660cf68722718b67cbe2c99a,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0012_scope.sql,2831,7eb47923759af11adf2475b30724b5e0874638a3f2af1bb47d6b52d1033443ef,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0013_capacity.sql,2541,f0174c6fc9c32c8a3b0d0e4171dbb1ca9186012c959aeb06929b342630b57d14,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/0014_core_domain_reset.sql,5291,e0c08121adbd7437d0bd99393fc769d812f7988f2aa7eecf4094249014e7a504,.sql
formazieleni-F-RESET-BC-2026-09-20/mnt/data/fz_work/formazieleni-pack/db/schema.sql,5826,db0d06a8f0bfb634999f2669ac4761d7bc5c8b9add0b6aece9e860459ba499c3,.sql
